Criado como novo conjunto de dados;"0307_DANIEL.spp","63905.6 Secs"
cm-1;Abs
9535.000000;-0.077193
9534.000000;-0.078801
9533.000000;-0.080498
9532.000000;-0.082376
9531.000000;-0.084401
9530.000000;-0.086398
9529.000000;-0.088136
9528.000000;-0.089534
9527.000000;-0.090802
9526.000000;-0.092290
9525.000000;-0.094170
9524.000000;-0.096260
9523.000000;-0.098215
9522.000000;-0.099870
9521.000000;-0.101362
9520.000000;-0.102922
9519.000000;-0.104603
9518.000000;-0.106252
9517.000000;-0.107706
9516.000000;-0.108952
9515.000000;-0.110100
9514.000000;-0.111311
9513.000000;-0.112739
9512.000000;-0.114453
9511.000000;-0.116334
9510.000000;-0.118140
9509.000000;-0.119756
9508.000000;-0.121317
9507.000000;-0.122999
9506.000000;-0.124741
9505.000000;-0.126315
9504.000000;-0.127640
9503.000000;-0.128880
9502.000000;-0.130209
9501.000000;-0.131622
9500.000000;-0.133040
9499.000000;-0.134498
9498.000000;-0.136105
9497.000000;-0.137857
9496.000000;-0.139579
9495.000000;-0.141056
9494.000000;-0.142191
9493.000000;-0.143061
9492.000000;-0.143832
9491.000000;-0.144620
9490.000000;-0.145421
9489.000000;-0.146178
9488.000000;-0.146886
9487.000000;-0.147598
9486.000000;-0.148379
9485.000000;-0.149311
9484.000000;-0.150480
9483.000000;-0.151862
9482.000000;-0.153241
9481.000000;-0.154350
9480.000000;-0.155110
9479.000000;-0.155674
9478.000000;-0.156245
9477.000000;-0.156951
9476.000000;-0.157852
9475.000000;-0.158909
9474.000000;-0.159925
9473.000000;-0.160695
9472.000000;-0.161270
9471.000000;-0.161942
9470.000000;-0.162860
9469.000000;-0.163828
9468.000000;-0.164560
9467.000000;-0.165030
9466.000000;-0.165428
9465.000000;-0.165875
9464.000000;-0.166319
9463.000000;-0.166673
9462.000000;-0.166906
9461.000000;-0.167040
9460.000000;-0.167152
9459.000000;-0.167359
9458.000000;-0.167709
9457.000000;-0.168130
9456.000000;-0.168555
9455.000000;-0.169012
9454.000000;-0.169481
9453.000000;-0.169787
9452.000000;-0.169789
9451.000000;-0.169623
9450.000000;-0.169555
9449.000000;-0.169609
9448.000000;-0.169560
9447.000000;-0.169306
9446.000000;-0.169053
9445.000000;-0.169024
9444.000000;-0.169168
9443.000000;-0.169280
9442.000000;-0.169278
9441.000000;-0.169198
9440.000000;-0.169023
9439.000000;-0.168671
9438.000000;-0.168123
9437.000000;-0.167426
9436.000000;-0.166589
9435.000000;-0.165628
9434.000000;-0.164695
9433.000000;-0.164031
9432.000000;-0.163719
9431.000000;-0.163618
9430.000000;-0.163561
9429.000000;-0.163481
9428.000000;-0.163266
9427.000000;-0.162671
9426.000000;-0.161563
9425.000000;-0.160221
9424.000000;-0.159158
9423.000000;-0.158588
9422.000000;-0.158237
9421.000000;-0.157754
9420.000000;-0.157126
9419.000000;-0.156549
9418.000000;-0.156013
9417.000000;-0.155285
9416.000000;-0.154279
9415.000000;-0.153225
9414.000000;-0.152385
9413.000000;-0.151772
9412.000000;-0.151242
9411.000000;-0.150734
9410.000000;-0.150242
9409.000000;-0.149628
9408.000000;-0.148652
9407.000000;-0.147231
9406.000000;-0.145547
9405.000000;-0.143884
9404.000000;-0.142438
9403.000000;-0.141299
9402.000000;-0.140481
9401.000000;-0.139868
9400.000000;-0.139199
9399.000000;-0.138237
9398.000000;-0.137011
9397.000000;-0.135791
9396.000000;-0.134780
9395.000000;-0.133869
9394.000000;-0.132768
9393.000000;-0.131351
9392.000000;-0.129755
9391.000000;-0.128171
9390.000000;-0.126657
9389.000000;-0.125257
9388.000000;-0.124139
9387.000000;-0.123429
9386.000000;-0.122916
9385.000000;-0.122138
